SW Bin,Desc,Site,Site%,Device#,Bin%,Good Bin,Reprobe Bin
"1580","PMBIST_Post_repair_Func_fail",1,34.9,29,34.9,1,0
"4","TOP ONLY",1,9.6,8,9.6,1,0
"1111","Continuity_DIr_Pos",1,4.8,4,4.8,1,0
"1416","TOP_SAF4_EXTEST_LOGIC_1_Fail",1,3.6,3,3.6,1,0
"1113","Continuity_Mux_Pos",1,21.7,18,21.7,1,0
"1131","IDD_static_fail",1,7.2,6,7.2,1,0
"2","Medium",1,3.6,3,3.6,1,0
"1001","supply_short_fail",1,7.2,6,7.2,1,0
"1412","TOP_SAF4_CORE_ROW_0_7_LOGIC_Fail",1,4.8,4,4.8,1,0
"1411","TOP_SAF4_CORE_ROW_0_7_SCAN_Fail",1,2.4,2,2.4,1,0
