Datalog report
Fri Jan 24 11:19:32 2025

                      Lot:  8IQYH47000.10-TT-I
                   Tester:  smartscale00.anoralabs.com
                  Program:  IBM_NP_Master_Rev004_HT.ttf
                      Rev:  
                   Device:  B6811850
          Device Revision:  
                    Sites:  1
             Package Type:  B6811850
                 Operator:  Joe
                Test Code:  FT
         Test Temperature:  75C
        Handler or Prober:  handtest (Offline)
         Smartest Version:  7.10.6.0
    Smartest Release Date:  Thu, 04 Aug 2022 08:14:36 +0200
           Executive Name:  TCCT
        Executive Version:  1.9.8
   Executive Release Date:  20200617


Site1 PartID: "P8203759"
Number     Test Name                                                             Low           Measured               High       Site(P/F)
110071     cont_row_even_col_even_pllset_pad_i_3                               0.500V     <      0.7586V     <       0.900V      Site:1
110072     cont_row_even_col_even_vsen_test0_pad_o                             0.200V     <      0.2836V     <       0.400V      Site:1
110073     cont_row_even_col_even_drive_pad_i_0                                0.500V     <      0.7586V     <       0.900V      Site:1
111001     cont_row_even_col_odd_io_rsp_pad_rsp_type                           0.200V     <      0.2886V     <       0.400V      Site:1
111002     cont_row_even_col_odd_io_req_pad_data_25                            0.500V     <      0.7586V     <       0.900V      Site:1
111003     cont_row_even_col_odd_io_req_pad_addr_valid                         0.500V     <      0.7587V     <       0.900V      Site:1
111004     cont_row_even_col_odd_io_req_pad_addr_18                            0.500V     <      0.7586V     <       0.900V      Site:1
111005     cont_row_even_col_odd_io_rsp_pad_data_24                            0.200V     <      0.2874V     <       0.400V      Site:1
111006     cont_row_even_col_odd_io_rsp_pad_bus_rd_error                       0.200V     <      0.2876V     <       0.400V      Site:1
111007     cont_row_even_col_odd_io_rsp_pad_data_20                            0.200V     <      0.2857V     <       0.400V      Site:1
111008     cont_row_even_col_odd_dft_scan_scan_out_pad_o_0                     0.200V     <      0.2856V     <       0.400V      Site:1
111009     cont_row_even_col_odd_io_rsp_pad_data_0                             0.200V     <      0.2819V     <       0.400V      Site:1
111010     cont_row_even_col_odd_io_req_pad_data_12                            0.500V     <      0.7587V     <       0.900V      Site:1
111011     cont_row_even_col_odd_io_req_pad_addr_22                            0.500V     <      0.7587V     <       0.900V      Site:1
111012     cont_row_even_col_odd_io_req_pad_data_11                            0.500V     <      0.7585V     <       0.900V      Site:1
111013     cont_row_even_col_odd_io_req_pad_addr_1                             0.500V     <      0.7584V     <       0.900V      Site:1
111014     cont_row_even_col_odd_io_req_pad_data_10                            0.500V     <      0.7586V     <       0.900V      Site:1
111015     cont_row_even_col_odd_io_req_pad_data_21                            0.500V     <      0.7586V     <       0.900V      Site:1
111016     cont_row_even_col_odd_io_req_pad_data_19                            0.500V     <      0.7585V     <       0.900V      Site:1
111017     cont_row_even_col_odd_dft_1500_wrck_pad_i                           0.500V     <      0.7587V     <       0.900V      Site:1
111018     cont_row_even_col_odd_io_req_pad_addr_25                            0.500V     <      0.7585V     <       0.900V      Site:1
111019     cont_row_even_col_odd_io_rsp_pad_data_11                            0.200V     <      0.2875V     <       0.400V      Site:1
111020     cont_row_even_col_odd_dft_pmbist_pmda_tdi_pad_i                     0.500V     <      0.7588V     <       0.900V      Site:1
111021     cont_row_even_col_odd_dft_scan_scan_in_pad_i_7                      0.500V     <      0.7585V     <       0.900V      Site:1
111022     cont_row_even_col_odd_ref_clk_pad_i                                 0.500V     <      0.7583V     <       0.900V      Site:1
111023     cont_row_even_col_odd_io_rsp_pad_data_8                             0.200V     <      0.2868V     <       0.400V      Site:1
111024     cont_row_even_col_odd_pll_fail_pad_o                                0.200V     <      0.2845V     <       0.400V      Site:1
111025     cont_row_even_col_odd_dft_scan_scan_out_pad_o_11                    0.200V     <      0.2851V     <       0.400V      Site:1
111026     cont_row_even_col_odd_dft_scan_cme_pad_i                            0.500V     <      0.7587V     <       0.900V      Site:1
111027     cont_row_even_col_odd_dft_opcg_load_en_pad_i                        0.500V     <      0.7587V     <       0.900V      Site:1
111028     cont_row_even_col_odd_pll_reg_async_reset_n_pad_i                   0.500V     <      0.7586V     <       0.900V      Site:1
111029     cont_row_even_col_odd_int_data_pad_3                                0.200V     <      0.2864V     <       0.400V      Site:1
111030     cont_row_even_col_odd_int_data_pad_0                                0.200V     <      0.2866V     <       0.400V      Site:1
111031     cont_row_even_col_odd_dft_scan_rst_n_pad_i                          0.500V     <      0.7588V     <       0.900V      Site:1
111032     cont_row_even_col_odd_dft_scan_misr_select_pad_i                    0.500V     <      0.7586V     <       0.900V      Site:1
111033     cont_row_even_col_odd_tap_tdo_pad_o                                 0.200V     <      0.2854V     <       0.400V      Site:1
111034     cont_row_even_col_odd_dft_pmbist_pmda_done_pad_o                    0.200V     <      0.2836V     <       0.400V      Site:1
111035     cont_row_even_col_odd_io_rsp_pad_accept1                            0.500V     <      0.7585V     <       0.900V      Site:1
111036     cont_row_even_col_odd_interrupt_req_pad_o_ack                       0.500V     <      0.7586V     <       0.900V      Site:1
112001     cont_row_odd_col_even_io_rsp_pad_data_25                            0.200V     <      0.2854V     <       0.400V      Site:1
112002     cont_row_odd_col_even_io_req_pad_addr_0                             0.500V     <      0.7583V     <       0.900V      Site:1
112003     cont_row_odd_col_even_io_req_pad_addr_19                            0.500V     <      0.7585V     <       0.900V      Site:1
112004     cont_row_odd_col_even_io_req_pad_addr_13                            0.500V     <      0.7583V     <       0.900V      Site:1
112005     cont_row_odd_col_even_io_req_pad_data_29                            0.500V     <      0.7586V     <       0.900V      Site:1
112006     cont_row_odd_col_even_io_req_pad_data_0                             0.500V     <      0.7584V     <       0.900V      Site:1
112007     cont_row_odd_col_even_io_rsp_pad_data_16                            0.200V     <      0.2862V     <       0.400V      Site:1
112008     cont_row_odd_col_even_io_req_pad_addr_11                            0.500V     <      0.7587V     <       0.900V      Site:1
112009     cont_row_odd_col_even_io_rsp_pad_data_28                            0.200V     <      0.2868V     <       0.400V      Site:1
112010     cont_row_odd_col_even_io_req_pad_addr_6                             0.500V     <      0.7585V     <       0.900V      Site:1
112011     cont_row_odd_col_even_tap_tms_pad_i                                 0.500V     <      0.7585V     <       0.900V      Site:1
112012     cont_row_odd_col_even_io_rsp_pad_data_valid                         0.200V     <      0.2877V     <       0.400V      Site:1
112013     cont_row_odd_col_even_io_req_pad_addr_26                            0.500V     <      0.7587V     <       0.900V      Site:1
112014     cont_row_odd_col_even_dft_1500_ws_pad_i                             0.500V     <      0.7586V     <       0.900V      Site:1
112015     cont_row_odd_col_even_io_req_pad_data_26                            0.500V     <      0.7587V     <       0.900V      Site:1
112016     cont_row_odd_col_even_io_req_pad_addr_23                            0.500V     <      0.7588V     <       0.900V      Site:1
112017     cont_row_odd_col_even_io_req_pad_addr_28                            0.500V     <      0.7585V     <       0.900V      Site:1
112018     cont_row_odd_col_even_dft_scan_scan_in_pad_i_9                      0.500V     <      0.7587V     <       0.900V      Site:1
112019     cont_row_odd_col_even_io_req_pad_data_31                            0.500V     <      0.7584V     <       0.900V      Site:1
112020     cont_row_odd_col_even_io_rsp_pad_data_6                             0.200V     <      0.2860V     <       0.400V      Site:1
112021     cont_row_odd_col_even_dft_scan_scan_out_pad_o_9                     0.200V     <      0.2839V     <       0.400V      Site:1
112022     cont_row_odd_col_even_dft_scan_scan_out_pad_o_1                     0.200V     <      0.2873V     <       0.400V      Site:1
112023     cont_row_odd_col_even_dft_pmbist_pmda_rst_pad_i                     0.500V     <      0.7588V     <       0.900V      Site:1
112024     cont_row_odd_col_even_dft_scan_scan_in_pad_i_8                      0.500V     <      0.7586V     <       0.900V      Site:1
112025     cont_row_odd_col_even_io_rsp_pad_data_27                            0.200V     <      0.2880V     <       0.400V      Site:1
112026     cont_row_odd_col_even_dft_scan_scan_in_pad_i_10                     0.500V     <      0.7585V     <       0.900V      Site:1
112027     cont_row_odd_col_even_pll_async_reset_n_pad_i                       0.500V     <      0.7587V     <       0.900V      Site:1
112028     cont_row_odd_col_even_io_rsp_pad_data_15                            0.200V     <      0.2868V     <       0.400V      Site:1
112029     cont_row_odd_col_even_io_req_pad_data_24                            0.500V     <      0.7584V     <       0.900V      Site:1
112030     cont_row_odd_col_even_machine_init_ctrl_pad_i_1                     0.500V     <      0.7583V     <       0.900V      Site:1
112031     cont_row_odd_col_even_io_rsp_pad_data_2                             0.200V     <      0.2839V     <       0.400V      Site:1
112032     cont_row_odd_col_even_dft_scan_scan_out_pad_o_13                    0.200V     <      0.2854V     <       0.400V      Site:1
112033     cont_row_odd_col_even_tsen_test_o_pad_o                             0.200V     <      0.2859V     <       0.400V      Site:1
112034     cont_row_odd_col_even_dft_pmbist_ret_pause_active_pad_o             0.200V     <      0.2847V     <       0.400V      Site:1
113001     cont_row_odd_col_odd_io_rsp_pad_accept0                             0.500V     <      0.7588V     <       0.900V      Site:1
113002     cont_row_odd_col_odd_io_req_pad_data_17                             0.500V     <      0.7584V     <       0.900V      Site:1
113003     cont_row_odd_col_odd_io_req_pad_data_9                              0.500V     <      0.7586V     <       0.900V      Site:1
113004     cont_row_odd_col_odd_io_req_pad_accept0                             0.200V     <      0.2838V     <       0.400V      Site:1
113005     cont_row_odd_col_odd_reserved_out_pad_o_0                           0.200V     <      0.2882V     <       0.400V      Site:1
113006     cont_row_odd_col_odd_io_req_pad_data_23                             0.500V     <      0.7587V     <       0.900V      Site:1
113007     cont_row_odd_col_odd_io_req_pad_addr_17                             0.500V     <      0.7586V     <       0.900V      Site:1
113008     cont_row_odd_col_odd_reserved_out_pad_o_1                           0.200V     <      0.2869V     <       0.400V      Site:1
113009     cont_row_odd_col_odd_io_rsp_pad_data_10                             0.200V     <      0.2859V     <       0.400V      Site:1
113010     cont_row_odd_col_odd_io_req_pad_data_3                              0.500V     <      0.7584V     <       0.900V      Site:1
113011     cont_row_odd_col_odd_io_req_pad_data_16                             0.500V     <      0.7585V     <       0.900V      Site:1
113012     cont_row_odd_col_odd_io_req_pad_addr_16                             0.500V     <      0.7588V     <       0.900V      Site:1
113013     cont_row_odd_col_odd_io_req_pad_data_7                              0.500V     <      0.7590V     <       0.900V      Site:1
113014     cont_row_odd_col_odd_io_rsp_pad_size_0                              0.200V     <      0.2885V     <       0.400V      Site:1
113015     cont_row_odd_col_odd_io_rsp_pad_data_22                             0.200V     <      0.2852V     <       0.400V      Site:1
113016     cont_row_odd_col_odd_io_req_pad_data_22                             0.500V     <      0.7586V     <       0.900V      Site:1
113017     cont_row_odd_col_odd_io_req_pad_data_2                              0.500V     <      0.7586V     <       0.900V      Site:1
113018     cont_row_odd_col_odd_io_req_pad_addr_7                              0.500V     <      0.7589V     <       0.900V      Site:1
113019     cont_row_odd_col_odd_io_rsp_pad_data_1                              0.200V     <      0.2851V     <       0.400V      Site:1
113020     cont_row_odd_col_odd_io_req_pad_data_15                             0.500V     <      0.7586V     <       0.900V      Site:1
113021     cont_row_odd_col_odd_io_rsp_pad_data_12                             0.200V     <      0.2847V     <       0.400V      Site:1
113022     cont_row_odd_col_odd_io_req_pad_data_6                              0.500V     <      0.7586V     <       0.900V      Site:1
113023     cont_row_odd_col_odd_pmon_d_clk1_pad_o                              0.200V     <      0.2891V     <       0.400V      Site:1
113024     cont_row_odd_col_odd_dft_scan_scan_out_pad_o_6                      0.200V     <      0.2858V     <       0.400V      Site:1
113025     cont_row_odd_col_odd_io_req_pad_addr_20                             0.500V     <      0.7586V     <       0.900V      Site:1
113026     cont_row_odd_col_odd_io_req_pad_addr_14                             0.500V     <      0.7586V     <       0.900V      Site:1
113027     cont_row_odd_col_odd_io_rsp_pad_data_17                             0.200V     <      0.2871V     <       0.400V      Site:1
113028     cont_row_odd_col_odd_io_rsp_pad_data_13                             0.200V     <      0.2854V     <       0.400V      Site:1
113029     cont_row_odd_col_odd_io_req_pad_addr_10                             0.500V     <      0.7588V     <       0.900V      Site:1
113030     cont_row_odd_col_odd_io_req_pad_addr_3                              0.500V     <      0.7586V     <       0.900V      Site:1
113031     cont_row_odd_col_odd_io_req_pad_addr_27                             0.500V     <      0.7587V     <       0.900V      Site:1
113032     cont_row_odd_col_odd_io_req_pad_data_5                              0.500V     <      0.7587V     <       0.900V      Site:1
113033     cont_row_odd_col_odd_dft_1500_updatewr_pad_i                        0.500V     <      0.7587V     <       0.900V      Site:1
113034     cont_row_odd_col_odd_dft_scan_scan_en_pad_i                         0.500V     <      0.7585V     <       0.900V      Site:1
113035     cont_row_odd_col_odd_dft_scan_scan_in_pad_i_6                       0.500V     <      0.7588V     <       0.900V      Site:1
113036     cont_row_odd_col_odd_dft_scan_elastic_rst_pad_i                     0.500V     <      0.7588V     <       0.900V      Site:1
113037     cont_row_odd_col_odd_dft_opcg_shift_clk_pad_i                       0.500V     <      0.7585V     <       0.900V      Site:1
113038     cont_row_odd_col_odd_int_req_pad                                    0.200V     <      0.2865V     <       0.400V      Site:1
113039     cont_row_odd_col_odd_io_rsp_pad_data_31                             0.200V     <      0.2870V     <       0.400V      Site:1
113040     cont_row_odd_col_odd_io_rsp_pad_data_5                              0.200V     <      0.2874V     <       0.400V      Site:1
113041     cont_row_odd_col_odd_io_rsp_pad_data_4                              0.200V     <      0.2849V     <       0.400V      Site:1
113042     cont_row_odd_col_odd_io_req_pad_addr_29                             0.500V     <      0.7586V     <       0.900V      Site:1
113043     cont_row_odd_col_odd_io_req_pad_data_28                             0.500V     <      0.7587V     <       0.900V      Site:1
113044     cont_row_odd_col_odd_dft_1500_capturewr_pad_i                       0.500V     <      0.7586V     <       0.900V      Site:1
113045     cont_row_odd_col_odd_dft_scan_scan_in_pad_i_15                      0.500V     <      0.7585V     <       0.900V      Site:1
113046     cont_row_odd_col_odd_dft_scan_scan_in_pad_i_5                       0.500V     <      0.7588V     <       0.900V      Site:1
113047     cont_row_odd_col_odd_dft_scan_scan_in_pad_i_3                       0.500V     <      0.7586V     <       0.900V      Site:1
113048     cont_row_odd_col_odd_dft_scan_misr_rst_pad_i                        0.500V     <      0.7587V     <       0.900V      Site:1
113049     cont_row_odd_col_odd_machine_init_ctrl_pad_i_0                      0.500V     <      0.7587V     <       0.900V      Site:1
113050     cont_row_odd_col_odd_dft_scan_scan_out_pad_o_5                      0.200V     <      0.2864V     <       0.400V      Site:1
113051     cont_row_odd_col_odd_dft_pmbist_pmda_fail_pad_o                     0.200V     <      0.2843V     <       0.400V      Site:1
113052     cont_row_odd_col_odd_dft_scan_scan_in_pad_i_14                      0.500V     <      0.7588V     <       0.900V      Site:1
113053     cont_row_odd_col_odd_dft_scan_scan_in_pad_i_13                      0.500V     <      0.7585V     <       0.900V      Site:1
113054     cont_row_odd_col_odd_dft_scan_scan_in_pad_i_2                       0.500V     <      0.7589V     <       0.900V      Site:1
113055     cont_row_odd_col_odd_rxtx_width_pad_i_1                             0.500V     <      0.7584V     <       0.900V      Site:1
113056     cont_row_odd_col_odd_rxtx_width_pad_i_0                             0.500V     <      0.7585V     <       0.900V      Site:1
113057     cont_row_odd_col_odd_pllset_pad_i_0                                 0.500V     <      0.7587V     <       0.900V      Site:1
113058     cont_row_odd_col_odd_io_rsp_pad_data_29                             0.200V     <      0.2865V     <       0.400V      Site:1
113059     cont_row_odd_col_odd_dft_1500_wso_ret_pad_o                         0.200V     <      0.2839V     <       0.400V      Site:1
113060     cont_row_odd_col_odd_pllset_pad_i_2                                 0.500V     <      0.7586V     <       0.900V      Site:1
113061     cont_row_odd_col_odd_pllset_pad_i_1                                 0.500V     <      0.7585V     <       0.900V      Site:1
113062     cont_row_odd_col_odd_dft_scan_lpg1_pad_i                            0.500V     <      0.7587V     <       0.900V      Site:1
113063     cont_row_odd_col_odd_pll_ref_select_pad_i                           0.500V     <      0.7586V     <       0.900V      Site:1
113064     cont_row_odd_col_odd_pll_lock_pad_o                                 0.200V     <      0.2845V     <       0.400V      Site:1
113065     cont_row_odd_col_odd_io_rsp_pad_data_9                              0.200V     <      0.2867V     <       0.400V      Site:1
113066     cont_row_odd_col_odd_int_data_pad_1                                 0.200V     <      0.2857V     <       0.400V      Site:1
113067     cont_row_odd_col_odd_tsen_iref_o_pad_ao                             0.500V     <      0.6949V     <       0.900V      Site:1
113068     cont_row_odd_col_odd_pll_config_select_pad_i                        0.500V     <      0.7588V     <       0.900V      Site:1
113069     cont_row_odd_col_odd_vsen_test1_pad_o                               0.200V     <      0.2883V     <       0.400V      Site:1
113070     cont_row_odd_col_odd_drive_pad_i_1                                  0.500V     <      0.7587V     <       0.900V      Site:1
113071     cont_row_odd_col_odd_dft_pmbist_ret_pause_continue_pad_i            0.500V     <      0.7585V     <       0.900V      Site:1
114001     cont_row_even_col_even_io_req_pad_size_0                           -0.900V     <     -0.7506V     <      -0.500V      Site:1
114002     cont_row_even_col_even_io_req_pad_data_30                          -0.900V     <     -0.7506V     <      -0.500V      Site:1
114003     cont_row_even_col_even_io_req_pad_data_13                          -0.900V     <     -0.7510V     <      -0.500V      Site:1
114004     cont_row_even_col_even_io_req_pad_addr_5                           -0.900V     <     -0.7506V     <      -0.500V      Site:1
114005     cont_row_even_col_even_io_req_pad_size_1                           -0.900V     <     -0.7506V     <      -0.500V      Site:1
114006     cont_row_even_col_even_io_req_pad_addr_9                           -0.900V     <     -0.7507V     <      -0.500V      Site:1
114007     cont_row_even_col_even_dft_scan_scan_out_pad_o_4                   -0.400V     <     -0.2692V     <      -0.200V      Site:1
114008     cont_row_even_col_even_io_req_pad_data_8                           -0.900V     <     -0.7504V     <      -0.500V      Site:1
